epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,2455.84,0.72761,5.00844,0.32754,0.5506,1.20813,0.9576,0.9724,0.97717,0.81251,0.79236,0.77275,0.69428,0.19698,0.62451,3.81424,0.36627,0.39369,1.18981,0.0009704,0.0009704,0.0009704
28,2551.02,0.72076,4.99907,0.32671,0.54014,1.21024,0.95123,0.97769,0.97694,0.81987,0.79167,0.77863,0.69655,0.20717,0.60818,3.74757,0.36764,0.39592,1.17005,0.0009308,0.0009308,0.0009308
29,2645.45,0.71155,4.89912,0.32791,0.52724,1.19943,0.95429,0.98079,0.97898,0.82227,0.7985,0.78156,0.69464,0.20747,0.60274,3.71197,0.36991,0.38102,1.16824,0.0008912,0.0008912,0.0008912
30,2735.95,0.70397,4.86184,0.32559,0.53065,1.19565,0.95353,0.9759,0.98057,0.82734,0.79565,0.77334,0.69389,0.20882,0.59559,3.69276,0.36421,0.38307,1.15903,0.0008516,0.0008516,0.0008516
31,2826.26,0.70426,4.81634,0.32405,0.52631,1.19403,0.9578,0.97288,0.98256,0.82151,0.78462,0.78156,0.68246,0.20437,0.61073,3.6905,0.36462,0.37607,1.16618,0.000812,0.000812,0.000812
32,2916.98,0.69584,4.73844,0.32198,0.5168,1.19164,0.95665,0.97187,0.97713,0.82822,0.81002,0.79615,0.72216,0.22615,0.58745,3.59626,0.36464,0.37724,1.15493,0.0007724,0.0007724,0.0007724
33,3007.34,0.69427,4.7456,0.31908,0.51621,1.19206,0.95533,0.97948,0.97611,0.82981,0.80123,0.8027,0.70766,0.21696,0.58402,3.58952,0.36591,0.37118,1.14589,0.0007328,0.0007328,0.0007328
34,3096.88,0.68569,4.66481,0.32037,0.51761,1.18536,0.95793,0.97651,0.9832,0.83616,0.81142,0.80347,0.72555,0.23083,0.58073,3.53993,0.36926,0.36575,1.1426,0.0006932,0.0006932,0.0006932
35,3185.97,0.68426,4.63777,0.3177,0.50651,1.18734,0.96064,0.97445,0.9813,0.8367,0.81642,0.80564,0.72063,0.23237,0.57445,3.50493,0.36545,0.36116,1.13611,0.0006536,0.0006536,0.0006536
36,3274.1,0.68241,4.64021,0.31765,0.50555,1.18217,0.95324,0.97769,0.98298,0.84228,0.8093,0.81033,0.73155,0.23591,0.5623,3.49112,0.36622,0.35669,1.12704,0.000614,0.000614,0.000614
37,3364.12,0.67107,4.51401,0.31721,0.4975,1.17101,0.9531,0.97859,0.98004,0.84233,0.8181,0.82032,0.7367,0.23969,0.55671,3.47152,0.36019,0.35659,1.12455,0.0005744,0.0005744,0.0005744
38,3454.92,0.66581,4.53785,0.31677,0.49308,1.17033,0.95752,0.97949,0.9782,0.84019,0.81773,0.81401,0.74068,0.2449,0.55875,3.44731,0.36426,0.35242,1.11975,0.0005348,0.0005348,0.0005348
39,3545.4,0.66106,4.47465,0.3147,0.49224,1.16962,0.96331,0.97131,0.98095,0.8464,0.82059,0.81679,0.75551,0.25316,0.55637,3.41781,0.35997,0.35486,1.1213,0.0004952,0.0004952,0.0004952
40,3636.36,0.65579,4.45408,0.31414,0.48327,1.16478,0.96542,0.9724,0.98135,0.84653,0.82697,0.81797,0.73879,0.24436,0.5523,3.39931,0.36015,0.34793,1.11676,0.0004556,0.0004556,0.0004556
41,3738.55,0.50504,3.47281,0.37644,0.34232,1.10057,0.95549,0.9771,0.98373,0.84309,0.81901,0.82149,0.75231,0.26028,0.55679,3.37813,0.35091,0.3517,1.12626,0.000416,0.000416,0.000416
42,3829.27,0.48049,3.3732,0.37011,0.3229,1.07524,0.94739,0.97769,0.98462,0.85093,0.84362,0.83969,0.78518,0.27829,0.54124,3.31526,0.34584,0.34368,1.11537,0.0003764,0.0003764,0.0003764
43,3919.53,0.46773,3.29369,0.36764,0.31165,1.06472,0.95976,0.97123,0.9866,0.85313,0.84939,0.81973,0.77913,0.28154,0.5366,3.2903,0.34611,0.33873,1.10354,0.0003368,0.0003368,0.0003368
44,4010.11,0.45155,3.21996,0.36566,0.30273,1.04995,0.95644,0.98004,0.98678,0.85488,0.86205,0.8366,0.79999,0.28838,0.52855,3.25735,0.34523,0.3333,1.09293,0.0002972,0.0002972,0.0002972
45,4099.65,0.44027,3.16051,0.36292,0.29253,1.0433,0.96758,0.96712,0.98841,0.86091,0.87196,0.8532,0.81464,0.29715,0.52118,3.2269,0.34279,0.32577,1.0823,0.0002576,0.0002576,0.0002576
46,4189.57,0.43055,3.11775,0.36236,0.28806,1.03085,0.95443,0.97945,0.98775,0.85868,0.85163,0.84597,0.79749,0.2956,0.52485,3.21882,0.34396,0.32851,1.09043,0.000218,0.000218,0.000218
47,4279.68,0.42468,3.06958,0.36081,0.28355,1.02661,0.96157,0.97886,0.98769,0.86573,0.8614,0.84204,0.79425,0.29581,0.51179,3.20414,0.34208,0.31719,1.07627,0.0001784,0.0001784,0.0001784
48,4371.4,0.41523,3.02193,0.35923,0.27479,1.0159,0.9562,0.97945,0.98752,0.86495,0.86333,0.83793,0.78856,0.2941,0.51102,3.17916,0.34314,0.31755,1.07515,0.0001388,0.0001388,0.0001388
49,4466.41,0.41287,2.98517,0.36038,0.27198,1.01688,0.9626,0.97416,0.98783,0.86508,0.86212,0.85437,0.80466,0.29966,0.51344,3.17385,0.34246,0.31594,1.07649,9.92e-05,9.92e-05,9.92e-05
50,4560.46,0.40254,2.9683,0.35897,0.26861,1.01027,0.96393,0.97285,0.98848,0.86552,0.86838,0.8523,0.81184,0.30514,0.50921,3.16077,0.34149,0.31327,1.07635,5.96e-05,5.96e-05,5.96e-05
